iteration,dA_loss1,dA_loss2,dB_loss1,dB_loss2,g_loss1,g_loss2
250,0.0626155287027359,0.05599173903465271,0.09014474600553513,0.20575153827667236,3.93015718460083,3.793213129043579
500,0.019947919994592667,0.1646779477596283,0.025506136938929558,0.02901534177362919,3.6387155055999756,3.4980416297912598
750,0.04287856072187424,0.056863028556108475,0.24973022937774658,0.05480225011706352,4.154603481292725,3.492079257965088
1000,0.10003075003623962,0.05938894674181938,0.01641007512807846,0.06790793687105179,3.2842602729797363,4.0769453048706055
1250,0.39369872212409973,0.040140461176633835,0.2150397002696991,0.032914455980062485,2.926988124847412,3.1247782707214355
1500,0.13798239827156067,0.04642774909734726,0.13610708713531494,0.07219666242599487,2.677227020263672,2.9400076866149902
1750,0.12624764442443848,0.13910174369812012,0.2192019522190094,0.09391424059867859,8.956308364868164,6.563607692718506
2000,0.47546881437301636,0.16318729519844055,0.033896323293447495,0.10556010901927948,2.6117706298828125,3.7319374084472656
2250,0.1449725180864334,0.182261124253273,0.04490691423416138,0.019278284162282944,2.6506452560424805,2.6626596450805664
2500,0.1362975388765335,0.09241200983524323,0.08000919967889786,0.16276103258132935,1.7844693660736084,2.0989785194396973
2750,0.01496874913573265,0.09855876863002777,0.15072880685329437,0.04328859969973564,2.3437838554382324,2.328476905822754
3000,0.36702895164489746,0.2598978877067566,0.19168289005756378,0.04549368843436241,2.160055160522461,2.8263115882873535
3250,0.03536786884069443,0.07785841822624207,0.047097377479076385,0.3086203634738922,1.6884050369262695,2.086625337600708
3500,0.10477131605148315,0.06615810096263885,0.09712284058332443,0.09740978479385376,2.367981433868408,2.1055779457092285
3750,0.015812724828720093,0.011694733053445816,0.046269260346889496,0.04880966246128082,1.9863533973693848,3.0884883403778076
4000,0.027247315272688866,0.0228011142462492,0.1479203999042511,0.1224513053894043,2.4711687564849854,2.2752342224121094
4250,0.009905874729156494,0.010782059282064438,0.04954333230853081,0.21356528997421265,1.8375691175460815,2.2478902339935303
4500,0.04400347173213959,0.010052724741399288,0.029761265963315964,0.12260173261165619,1.6593427658081055,2.114748001098633
4750,0.17027665674686432,0.02121374011039734,0.043786682188510895,0.029874995350837708,2.0779166221618652,3.309084892272949
5000,0.026308102533221245,0.01937410980463028,0.17486748099327087,0.13626819849014282,2.621278762817383,2.5768370628356934
5250,0.09187375009059906,0.027527885511517525,0.027201291173696518,0.043769508600234985,1.7592823505401611,2.5747132301330566
5500,0.11797493696212769,0.13343271613121033,0.06469657272100449,0.08518809080123901,2.305772066116333,2.288767099380493
